Iteration,[DT]->[A],[DT]->[The],[DT]->[tall],[DT]->[boy],[DT]->[house],[JJ]->[A],[JJ]->[The],[JJ]->[tall],[JJ]->[boy],[JJ]->[house],[NN]->[A],[NN]->[The],[NN]->[tall],[NN]->[boy],[NN]->[house]
11,0.496076,0.248835,0.000000,0.170402,0.084687,0.000000,0.249894,0.500212,0.000000,0.249894,0.170402,0.084687,0.000000,0.496076,0.248835
12,0.169646,0.085438,0.000000,0.496957,0.247959,0.000000,0.249964,0.500072,0.000000,0.249964,0.496957,0.247959,0.000000,0.169646,0.085438
13,0.496203,0.248714,0.000000,0.170443,0.084641,0.000000,0.249988,0.500024,0.000000,0.249988,0.170443,0.084641,0.000000,0.496203,0.248714
14,0.169662,0.085423,0.000000,0.496998,0.247918,0.000000,0.249996,0.500008,0.000000,0.249996,0.496998,0.247918,0.000000,0.169662,0.085423
15,0.496215,0.248699,0.000000,0.170449,0.084637,0.000000,0.249999,0.500003,0.000000,0.249999,0.170449,0.084637,0.000000,0.496215,0.248699
16,0.169666,0.085422,0.000000,0.497000,0.247912,0.000000,0.250000,0.500001,0.000000,0.250000,0.497000,0.247912,0.000000,0.169666,0.085422
17,0.496214,0.248696,0.000000,0.170452,0.084638,0.000000,0.250000,0.500000,0.000000,0.250000,0.170452,0.084638,0.000000,0.496214,0.248696
18,0.169668,0.085423,0.000000,0.496998,0.247910,0.000000,0.250000,0.500000,0.000000,0.250000,0.496998,0.247910,0.000000,0.169668,0.085423
19,0.496212,0.248695,0.000000,0.170455,0.084639,0.000000,0.250000,0.500000,0.000000,0.250000,0.170455,0.084639,0.000000,0.496212,0.248695
20,0.169671,0.085425,0.000000,0.496996,0.247909,0.000000,0.250000,0.500000,0.000000,0.250000,0.496996,0.247909,0.000000,0.169671,0.085425
21,0.496210,0.248693,0.000000,0.170457,0.084640,0.000000,0.250000,0.500000,0.000000,0.250000,0.170457,0.084640,0.000000,0.496210,0.248693
22,0.169673,0.085426,0.000000,0.496994,0.247908,0.000000,0.250000,0.500000,0.000000,0.250000,0.496994,0.247908,0.000000,0.169673,0.085426
23,0.496207,0.248692,0.000000,0.170459,0.084641,0.000000,0.250000,0.500000,0.000000,0.250000,0.170459,0.084641,0.000000,0.496207,0.248692
24,0.169675,0.085427,0.000000,0.496991,0.247906,0.000000,0.250000,0.500000,0.000000,0.250000,0.496991,0.247906,0.000000,0.169675,0.085427
25,0.496205,0.248691,0.000000,0.170462,0.084642,0.000000,0.250000,0.500000,0.000000,0.250000,0.170462,0.084642,0.000000,0.496205,0.248691
26,0.169678,0.085428,0.000000,0.496989,0.247905,0.000000,0.250000,0.500000,0.000000,0.250000,0.496989,0.247905,0.000000,0.169678,0.085428
27,0.496203,0.248690,0.000000,0.170464,0.084644,0.000000,0.250000,0.500000,0.000000,0.250000,0.170464,0.084644,0.000000,0.496203,0.248690
28,0.169680,0.085429,0.000000,0.496987,0.247904,0.000000,0.250000,0.500000,0.000000,0.250000,0.496987,0.247904,0.000000,0.169680,0.085429
29,0.496200,0.248689,0.000000,0.170466,0.084645,0.000000,0.250000,0.500000,0.000000,0.250000,0.170466,0.084645,0.000000,0.496200,0.248689
30,0.169682,0.085431,0.000000,0.496984,0.247903,0.000000,0.250000,0.500000,0.000000,0.250000,0.496984,0.247903,0.000000,0.169682,0.085431
31,0.496198,0.248687,0.000000,0.170469,0.084646,0.000000,0.250000,0.500000,0.000000,0.250000,0.170469,0.084646,0.000000,0.496198,0.248687
32,0.169685,0.085432,0.000000,0.496982,0.247902,0.000000,0.250000,0.500000,0.000000,0.250000,0.496982,0.247902,0.000000,0.169685,0.085432
33,0.496195,0.248686,0.000000,0.170471,0.084647,0.000000,0.250000,0.500000,0.000000,0.250000,0.170471,0.084647,0.000000,0.496195,0.248686
34,0.169687,0.085433,0.000000,0.496979,0.247900,0.000000,0.250000,0.500000,0.000000,0.250000,0.496979,0.247900,0.000000,0.169687,0.085433
35,0.496193,0.248685,0.000000,0.170474,0.084648,0.000000,0.250000,0.500000,0.000000,0.250000,0.170474,0.084648,0.000000,0.496193,0.248685
36,0.169690,0.085434,0.000000,0.496977,0.247899,0.000000,0.250000,0.500000,0.000000,0.250000,0.496977,0.247899,0.000000,0.169690,0.085434
37,0.496191,0.248684,0.000000,0.170476,0.084650,0.000000,0.250000,0.500000,0.000000,0.250000,0.170476,0.084650,0.000000,0.496191,0.248684
38,0.169692,0.085435,0.000000,0.496975,0.247898,0.000000,0.250000,0.500000,0.000000,0.250000,0.496975,0.247898,0.000000,0.169692,0.085435
39,0.496188,0.248683,0.000000,0.170478,0.084651,0.000000,0.250000,0.500000,0.000000,0.250000,0.170478,0.084651,0.000000,0.496188,0.248683
40,0.169694,0.085437,0.000000,0.496972,0.247897,0.000000,0.250000,0.500000,0.000000,0.250000,0.496972,0.247897,0.000000,0.169694,0.085437
41,0.496186,0.248681,0.000000,0.170481,0.084652,0.000000,0.250000,0.500000,0.000000,0.250000,0.170481,0.084652,0.000000,0.496186,0.248681
42,0.169697,0.085438,0.000000,0.496970,0.247896,0.000000,0.250000,0.500000,0.000000,0.250000,0.496970,0.247896,0.000000,0.169697,0.085438
43,0.496183,0.248680,0.000000,0.170483,0.084653,0.000000,0.250000,0.500000,0.000000,0.250000,0.170483,0.084653,0.000000,0.496183,0.248680
44,0.169699,0.085439,0.000000,0.496968,0.247894,0.000000,0.250000,0.500000,0.000000,0.250000,0.496968,0.247894,0.000000,0.169699,0.085439
45,0.496181,0.248679,0.000000,0.170486,0.084654,0.000000,0.250000,0.500000,0.000000,0.250000,0.170486,0.084654,0.000000,0.496181,0.248679
46,0.169702,0.085440,0.000000,0.496965,0.247893,0.000000,0.250000,0.500000,0.000000,0.250000,0.496965,0.247893,0.000000,0.169702,0.085440
47,0.496179,0.248678,0.000000,0.170488,0.084655,0.000000,0.250000,0.500000,0.000000,0.250000,0.170488,0.084655,0.000000,0.496179,0.248678
48,0.169704,0.085441,0.000000,0.496963,0.247892,0.000000,0.250000,0.500000,0.000000,0.250000,0.496963,0.247892,0.000000,0.169704,0.085441
49,0.496176,0.248677,0.000000,0.170490,0.084657,0.000000,0.250000,0.500000,0.000000,0.250000,0.170490,0.084657,0.000000,0.496176,0.248677
50,0.169706,0.085443,0.000000,0.496960,0.247891,0.000000,0.250000,0.500000,0.000000,0.250000,0.496960,0.247891,0.000000,0.169706,0.085443
51,0.496174,0.248675,0.000000,0.170493,0.084658,0.000000,0.250000,0.500000,0.000000,0.250000,0.170493,0.084658,0.000000,0.496174,0.248675
52,0.169709,0.085444,0.000000,0.496958,0.247890,0.000000,0.250000,0.500000,0.000000,0.250000,0.496958,0.247890,0.000000,0.169709,0.085444
53,0.496172,0.248674,0.000000,0.170495,0.084659,0.000000,0.250000,0.500000,0.000000,0.250000,0.170495,0.084659,0.000000,0.496172,0.248674
54,0.169711,0.085445,0.000000,0.496956,0.247888,0.000000,0.250000,0.500000,0.000000,0.250000,0.496956,0.247888,0.000000,0.169711,0.085445
55,0.496169,0.248673,0.000000,0.170498,0.084660,0.000000,0.250000,0.500000,0.000000,0.250000,0.170498,0.084660,0.000000,0.496169,0.248673
56,0.169713,0.085446,0.000000,0.496953,0.247887,0.000000,0.250000,0.500000,0.000000,0.250000,0.496953,0.247887,0.000000,0.169713,0.085446
57,0.496167,0.248672,0.000000,0.170500,0.084661,0.000000,0.250000,0.500000,0.000000,0.250000,0.170500,0.084661,0.000000,0.496167,0.248672
58,0.169716,0.085447,0.000000,0.496951,0.247886,0.000000,0.250000,0.500000,0.000000,0.250000,0.496951,0.247886,0.000000,0.169716,0.085447
59,0.496164,0.248671,0.000000,0.170502,0.084663,0.000000,0.250000,0.500000,0.000000,0.250000,0.170502,0.084663,0.000000,0.496164,0.248671
60,0.169718,0.085449,0.000000,0.496949,0.247885,0.000000,0.250000,0.500000,0.000000,0.250000,0.496948,0.247885,0.000000,0.169718,0.085449
61,0.496162,0.248670,0.000000,0.170505,0.084664,0.000000,0.250000,0.500000,0.000000,0.250000,0.170505,0.084664,0.000000,0.496162,0.248670
62,0.169720,0.085450,0.000000,0.496946,0.247884,0.000000,0.250000,0.500000,0.000000,0.250000,0.496946,0.247884,0.000000,0.169721,0.085450
63,0.496160,0.248668,0.000000,0.170507,0.084665,0.000000,0.250000,0.500000,0.000000,0.250000,0.170507,0.084665,0.000000,0.496159,0.248668
64,0.169723,0.085451,0.000000,0.496944,0.247882,0.000000,0.250000,0.500000,0.000000,0.250000,0.496944,0.247882,0.000000,0.169723,0.085451
65,0.496157,0.248667,0.000000,0.170509,0.084666,0.000000,0.250000,0.500000,0.000000,0.250000,0.170510,0.084666,0.000000,0.496157,0.248667
66,0.169725,0.085452,0.000000,0.496942,0.247881,0.000000,0.250000,0.500000,0.000000,0.250000,0.496941,0.247881,0.000000,0.169726,0.085452
67,0.496155,0.248666,0.000000,0.170511,0.084667,0.000000,0.250000,0.500000,0.000000,0.250000,0.170512,0.084668,0.000000,0.496154,0.248666
68,0.169727,0.085453,0.000000,0.496940,0.247880,0.000000,0.250000,0.500000,0.000000,0.250000,0.496938,0.247880,0.000000,0.169728,0.085454
69,0.496153,0.248665,0.000000,0.170513,0.084668,0.000000,0.250000,0.500000,0.000000,0.250000,0.170515,0.084669,0.000000,0.496151,0.248664
70,0.169729,0.085454,0.000000,0.496938,0.247879,0.000000,0.250000,0.500000,0.000000,0.250000,0.496935,0.247878,0.000000,0.169731,0.085455
71,0.496152,0.248664,0.000000,0.170515,0.084669,0.000000,0.250000,0.500000,0.000000,0.250000,0.170519,0.084671,0.000000,0.496148,0.248663
72,0.169730,0.085455,0.000000,0.496937,0.247878,0.000000,0.249999,0.500000,0.000000,0.250001,0.496931,0.247877,0.000000,0.169735,0.085457
73,0.496152,0.248664,0.000000,0.170515,0.084669,0.000000,0.250001,0.500000,0.000000,0.249999,0.170523,0.084673,0.000000,0.496143,0.248661
74,0.169729,0.085455,0.000000,0.496938,0.247878,0.000000,0.249999,0.500000,0.000000,0.250001,0.496925,0.247875,0.000000,0.169741,0.085459
75,0.496154,0.248664,0.000000,0.170513,0.084669,0.000000,0.250002,0.500000,0.000000,0.249998,0.170530,0.084676,0.000000,0.496136,0.248659
76,0.169725,0.085453,0.000000,0.496943,0.247879,0.000000,0.249997,0.500000,0.000000,0.250003,0.496916,0.247872,0.000000,0.169749,0.085463
77,0.496162,0.248665,0.000000,0.170507,0.084666,0.000000,0.250004,0.500000,0.000000,0.249996,0.170541,0.084680,0.000000,0.496124,0.248655
78,0.169715,0.085449,0.000000,0.496954,0.247881,0.000000,0.249994,0.500000,0.000000,0.250006,0.496900,0.247867,0.000000,0.169764,0.085469
79,0.496179,0.248670,0.000000,0.170491,0.084660,0.000000,0.250009,0.500000,0.000000,0.249991,0.170561,0.084689,0.000000,0.496102,0.248648
80,0.169691,0.085439,0.000000,0.496981,0.247888,0.000000,0.249987,0.500000,0.000000,0.250013,0.496868,0.247858,0.000000,0.169793,0.085482
81,0.496219,0.248680,0.000000,0.170455,0.084646,0.000000,0.250019,0.500000,0.000000,0.249981,0.170602,0.084706,0.000000,0.496057,0.248635
82,0.169639,0.085418,0.000000,0.497039,0.247903,0.000000,0.249974,0.500000,0.000000,0.250026,0.496805,0.247840,0.000000,0.169850,0.085505
83,0.496303,0.248703,0.000000,0.170380,0.084614,0.000000,0.250038,0.500000,0.000000,0.249962,0.170682,0.084739,0.000000,0.495968,0.248610
84,0.169529,0.085372,0.000000,0.497163,0.247936,0.000000,0.249946,0.500000,0.000000,0.250054,0.496677,0.247805,0.000000,0.169965,0.085554
85,0.496480,0.248752,0.000000,0.170220,0.084548,0.000000,0.250080,0.500000,0.000000,0.249920,0.170848,0.084808,0.000000,0.495786,0.248558
86,0.169298,0.085276,0.000000,0.497421,0.248005,0.000000,0.249887,0.500000,0.000000,0.250113,0.496414,0.247733,0.000000,0.170201,0.085652
87,0.496849,0.248854,0.000000,0.169886,0.084411,0.000000,0.250165,0.500000,0.000000,0.249835,0.171187,0.084948,0.000000,0.495411,0.248453
88,0.168817,0.085076,0.000000,0.497957,0.248149,0.000000,0.249767,0.500000,0.000000,0.250233,0.495871,0.247585,0.000000,0.170690,0.085855
89,0.497616,0.249067,0.000000,0.169193,0.084124,0.000000,0.250342,0.500000,0.000000,0.249658,0.171891,0.085239,0.000000,0.494636,0.248235
90,0.167821,0.084661,0.000000,0.499070,0.248447,0.000000,0.249517,0.500000,0.000000,0.250483,0.494745,0.247277,0.000000,0.171702,0.086275
91,0.499204,0.249505,0.000000,0.167761,0.083531,0.000000,0.250709,0.500000,0.000000,0.249291,0.173352,0.085841,0.000000,0.493027,0.247780
92,0.165768,0.083804,0.000000,0.501370,0.249059,0.000000,0.248999,0.500000,0.000000,0.251001,0.492408,0.246632,0.000000,0.173811,0.087148
93,0.502475,0.250398,0.000000,0.164820,0.082308,0.000000,0.251468,0.500000,0.000000,0.248532,0.176403,0.087093,0.000000,0.489681,0.246822
94,0.161576,0.082042,0.000000,0.506090,0.250292,0.000000,0.247931,0.500000,0.000000,0.252069,0.487542,0.245263,0.000000,0.178228,0.088967
95,0.509145,0.252182,0.000000,0.158862,0.079811,0.000000,0.253025,0.500000,0.000000,0.246975,0.182813,0.089710,0.000000,0.482706,0.244771
96,0.153199,0.078475,0.000000,0.515621,0.252705,0.000000,0.245765,0.500000,0.000000,0.254235,0.477406,0.242285,0.000000,0.187539,0.092771
97,0.522353,0.255601,0.000000,0.147211,0.074835,0.000000,0.256110,0.500000,0.000000,0.243890,0.196337,0.095183,0.000000,0.468230,0.240250
98,0.137413,0.071550,0.000000,0.533893,0.257144,0.000000,0.241677,0.500000,0.000000,0.258323,0.456656,0.235579,0.000000,0.207091,0.100674
99,0.546096,0.261700,0.000000,0.126572,0.065632,0.000000,0.261375,0.500000,0.000000,0.238625,0.224088,0.106394,0.000000,0.439497,0.230021
100,0.112263,0.059751,0.000000,0.563298,0.264688,0.000000,0.236110,0.500000,0.000000,0.263890,0.418273,0.220564,0.000000,0.244976,0.116187
101,0.576999,0.272150,0.000000,0.098819,0.052033,0.000000,0.265583,0.500000,0.000000,0.234417,0.271249,0.126754,0.000000,0.393086,0.208911
102,0.086120,0.045792,0.000000,0.590679,0.277409,0.000000,0.236521,0.500000,0.000000,0.263479,0.369424,0.194612,0.000000,0.295763,0.140201
103,0.593449,0.287924,0.000000,0.078350,0.040277,0.000000,0.259393,0.500000,0.000000,0.240607,0.314719,0.151280,0.000000,0.351580,0.182421
104,0.073307,0.037677,0.000000,0.598075,0.290941,0.000000,0.245381,0.500000,0.000000,0.254619,0.341397,0.173842,0.000000,0.325123,0.159637
105,0.594883,0.297610,0.000000,0.071691,0.035816,0.000000,0.252122,0.500000,0.000000,0.247878,0.330083,0.163607,0.000000,0.336585,0.169725
106,0.070388,0.035633,0.000000,0.598434,0.295545,0.000000,0.249218,0.500000,0.000000,0.250782,0.334595,0.167819,0.000000,0.332061,0.165524
107,0.594777,0.299760,0.000000,0.070495,0.034968,0.000000,0.250331,0.500000,0.000000,0.249669,0.332856,0.166203,0.000000,0.333813,0.167128
108,0.069931,0.035308,0.000000,0.598439,0.296321,0.000000,0.249888,0.500000,0.000000,0.250112,0.333515,0.166832,0.000000,0.333151,0.166503
109,0.594748,0.300093,0.000000,0.070319,0.034841,0.000000,0.250048,0.500000,0.000000,0.249952,0.333265,0.166600,0.000000,0.333402,0.166733
110,0.069866,0.035261,0.000000,0.598440,0.296433,0.000000,0.249984,0.500000,0.000000,0.250016,0.333359,0.166690,0.000000,0.333307,0.166644
111,0.594743,0.300141,0.000000,0.070294,0.034823,0.000000,0.250007,0.500000,0.000000,0.249993,0.333324,0.166657,0.000000,0.333343,0.166676
112,0.069857,0.035255,0.000000,0.598440,0.296449,0.000000,0.249998,0.500000,0.000000,0.250002,0.333337,0.166670,0.000000,0.333330,0.166663
113,0.594742,0.300148,0.000000,0.070290,0.034820,0.000000,0.250001,0.500000,0.000000,0.249999,0.333332,0.166665,0.000000,0.333335,0.166668
114,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333334,0.166667,0.000000,0.333333,0.166666
115,0.594742,0.300149,0.000000,0.070290,0.034820,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166666,0.000000,0.333334,0.166667
116,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
117,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
118,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
119,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
120,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
121,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
122,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
123,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
124,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
125,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
126,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
127,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
128,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
129,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
130,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
131,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
132,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
133,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
134,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
135,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
136,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
137,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
138,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
139,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
140,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
141,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
142,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
143,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
144,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
145,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
146,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
147,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
148,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
149,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
150,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
151,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
152,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
153,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
154,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
155,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
156,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
157,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
158,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
159,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
160,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
161,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
162,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
163,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
164,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
165,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
166,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
167,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
168,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
169,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
170,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
171,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
172,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
173,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
174,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
175,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
176,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
177,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
