Iteration,[DT]->[DT],[DT]->[JJ],[DT]->[NN],[DT]->[#],[JJ]->[DT],[JJ]->[JJ],[JJ]->[NN],[JJ]->[#],[NN]->[DT],[NN]->[JJ],[NN]->[NN],[NN]->[#],[#]->[DT],[#]->[JJ],[#]->[NN],[#]->[#]
35,0.000000,0.191342,0.000000,0.558658,0.744878,0.000000,0.255122,0.250000,0.000000,0.558658,0.000000,0.191342,0.255122,0.250000,0.744878,0.000000
36,0.000000,0.558657,0.000000,0.191343,0.255124,0.000000,0.744876,0.250000,0.000000,0.191343,0.000000,0.558657,0.744876,0.250000,0.255124,0.000000
37,0.000000,0.191344,0.000000,0.558656,0.744874,0.000000,0.255126,0.250000,0.000000,0.558656,0.000000,0.191344,0.255126,0.250000,0.744874,0.000000
38,0.000000,0.558654,0.000000,0.191346,0.255127,0.000000,0.744873,0.250000,0.000000,0.191346,0.000000,0.558654,0.744873,0.250000,0.255127,0.000000
39,0.000000,0.191347,0.000000,0.558653,0.744871,0.000000,0.255129,0.250000,0.000000,0.558653,0.000000,0.191347,0.255129,0.250000,0.744871,0.000000
40,0.000000,0.558652,0.000000,0.191348,0.255131,0.000000,0.744869,0.250000,0.000000,0.191348,0.000000,0.558652,0.744869,0.250000,0.255131,0.000000
41,0.000000,0.191350,0.000000,0.558650,0.744867,0.000000,0.255133,0.250000,0.000000,0.558650,0.000000,0.191350,0.255133,0.250000,0.744867,0.000000
42,0.000000,0.558649,0.000000,0.191351,0.255135,0.000000,0.744865,0.250000,0.000000,0.191351,0.000000,0.558649,0.744865,0.250000,0.255135,0.000000
43,0.000000,0.191352,0.000000,0.558648,0.744864,0.000000,0.255136,0.250000,0.000000,0.558648,0.000000,0.191352,0.255136,0.250000,0.744864,0.000000
44,0.000000,0.558646,0.000000,0.191354,0.255138,0.000000,0.744862,0.250000,0.000000,0.191354,0.000000,0.558646,0.744862,0.250000,0.255138,0.000000
45,0.000000,0.191355,0.000000,0.558645,0.744860,0.000000,0.255140,0.250000,0.000000,0.558645,0.000000,0.191355,0.255140,0.250000,0.744860,0.000000
46,0.000000,0.558644,0.000000,0.191356,0.255142,0.000000,0.744858,0.250000,0.000000,0.191356,0.000000,0.558644,0.744858,0.250000,0.255142,0.000000
47,0.000000,0.191358,0.000000,0.558642,0.744857,0.000000,0.255143,0.250000,0.000000,0.558642,0.000000,0.191358,0.255143,0.250000,0.744857,0.000000
48,0.000000,0.558641,0.000000,0.191359,0.255145,0.000000,0.744855,0.250000,0.000000,0.191359,0.000000,0.558641,0.744855,0.250000,0.255145,0.000000
49,0.000000,0.191360,0.000000,0.558640,0.744853,0.000000,0.255147,0.250000,0.000000,0.558640,0.000000,0.191360,0.255147,0.250000,0.744853,0.000000
50,0.000000,0.558638,0.000000,0.191362,0.255149,0.000000,0.744851,0.250000,0.000000,0.191362,0.000000,0.558638,0.744851,0.250000,0.255149,0.000000
51,0.000000,0.191363,0.000000,0.558637,0.744849,0.000000,0.255151,0.250000,0.000000,0.558637,0.000000,0.191363,0.255151,0.250000,0.744849,0.000000
52,0.000000,0.558636,0.000000,0.191364,0.255152,0.000000,0.744848,0.250000,0.000000,0.191364,0.000000,0.558636,0.744848,0.250000,0.255152,0.000000
53,0.000000,0.191366,0.000000,0.558634,0.744846,0.000000,0.255154,0.250000,0.000000,0.558634,0.000000,0.191366,0.255154,0.250000,0.744846,0.000000
54,0.000000,0.558633,0.000000,0.191367,0.255156,0.000000,0.744844,0.250000,0.000000,0.191367,0.000000,0.558633,0.744844,0.250000,0.255156,0.000000
55,0.000000,0.191368,0.000000,0.558632,0.744842,0.000000,0.255158,0.250000,0.000000,0.558632,0.000000,0.191368,0.255158,0.250000,0.744842,0.000000
56,0.000000,0.558630,0.000000,0.191370,0.255160,0.000000,0.744840,0.250000,0.000000,0.191370,0.000000,0.558630,0.744840,0.250000,0.255160,0.000000
57,0.000000,0.191371,0.000000,0.558629,0.744839,0.000000,0.255161,0.250000,0.000000,0.558629,0.000000,0.191371,0.255161,0.250000,0.744839,0.000000
58,0.000000,0.558628,0.000000,0.191372,0.255163,0.000000,0.744837,0.250000,0.000000,0.191372,0.000000,0.558628,0.744837,0.250000,0.255163,0.000000
59,0.000000,0.191374,0.000000,0.558626,0.744835,0.000000,0.255165,0.250000,0.000000,0.558626,0.000000,0.191374,0.255165,0.250000,0.744835,0.000000
60,0.000000,0.558625,0.000000,0.191375,0.255167,0.000000,0.744833,0.250000,0.000000,0.191375,0.000000,0.558625,0.744833,0.250000,0.255167,0.000000
61,0.000000,0.191376,0.000000,0.558624,0.744832,0.000000,0.255169,0.250000,0.000000,0.558624,0.000000,0.191376,0.255168,0.250000,0.744831,0.000000
62,0.000000,0.558622,0.000000,0.191378,0.255170,0.000000,0.744830,0.250000,0.000000,0.191378,0.000000,0.558622,0.744830,0.250000,0.255170,0.000000
63,0.000000,0.191379,0.000000,0.558621,0.744828,0.000000,0.255172,0.250000,0.000000,0.558621,0.000000,0.191379,0.255172,0.250000,0.744828,0.000000
64,0.000000,0.558619,0.000000,0.191380,0.255174,0.000000,0.744826,0.250000,0.000000,0.191381,0.000000,0.558620,0.744826,0.250000,0.255174,0.000000
65,0.000000,0.191381,0.000000,0.558618,0.744825,0.000000,0.255176,0.250000,0.000000,0.558619,0.000000,0.191382,0.255175,0.250000,0.744824,0.000000
66,0.000000,0.558616,0.000000,0.191382,0.255177,0.000000,0.744822,0.250000,0.000000,0.191384,0.000000,0.558618,0.744823,0.250000,0.255178,0.000000
67,0.000000,0.191383,0.000000,0.558614,0.744821,0.000000,0.255180,0.250000,0.000000,0.558617,0.000000,0.191385,0.255179,0.250000,0.744820,0.000000
68,0.000000,0.558613,0.000000,0.191384,0.255180,0.000000,0.744818,0.250000,0.000000,0.191387,0.000000,0.558616,0.744820,0.250000,0.255182,0.000000
69,0.000000,0.191385,0.000000,0.558611,0.744819,0.000000,0.255184,0.250000,0.000000,0.558615,0.000000,0.191389,0.255181,0.250000,0.744816,0.000000
70,0.000000,0.558608,0.000000,0.191385,0.255183,0.000000,0.744814,0.250000,0.000000,0.191391,0.000000,0.558615,0.744817,0.250000,0.255186,0.000000
71,0.000000,0.191385,0.000000,0.558605,0.744816,0.000000,0.255189,0.250000,0.000000,0.558615,0.000000,0.191394,0.255184,0.250000,0.744811,0.000000
72,0.000000,0.558602,0.000000,0.191385,0.255184,0.000000,0.744808,0.249999,0.000000,0.191397,0.000000,0.558616,0.744816,0.250001,0.255192,0.000000
73,0.000000,0.191383,0.000000,0.558597,0.744816,0.000000,0.255196,0.250001,0.000000,0.558618,0.000000,0.191402,0.255184,0.249999,0.744804,0.000000
74,0.000000,0.558592,0.000000,0.191381,0.255184,0.000000,0.744800,0.249999,0.000000,0.191407,0.000000,0.558621,0.744816,0.250001,0.255200,0.000000
75,0.000000,0.191376,0.000000,0.558584,0.744818,0.000000,0.255205,0.250002,0.000000,0.558626,0.000000,0.191414,0.255182,0.249998,0.744795,0.000000
76,0.000000,0.558573,0.000000,0.191369,0.255179,0.000000,0.744788,0.249997,0.000000,0.191424,0.000000,0.558634,0.744821,0.250003,0.255212,0.000000
77,0.000000,0.191359,0.000000,0.558559,0.744827,0.000000,0.255221,0.250004,0.000000,0.558646,0.000000,0.191437,0.255173,0.249996,0.744779,0.000000
78,0.000000,0.558539,0.000000,0.191343,0.255164,0.000000,0.744766,0.249994,0.000000,0.191455,0.000000,0.558663,0.744836,0.250006,0.255234,0.000000
79,0.000000,0.191320,0.000000,0.558510,0.744849,0.000000,0.255250,0.250009,0.000000,0.558689,0.000000,0.191481,0.255151,0.249991,0.744750,0.000000
80,0.000000,0.558469,0.000000,0.191285,0.255131,0.000000,0.744726,0.249987,0.000000,0.191518,0.000000,0.558727,0.744869,0.250013,0.255274,0.000000
81,0.000000,0.191235,0.000000,0.558410,0.744899,0.000000,0.255308,0.250019,0.000000,0.558783,0.000000,0.191571,0.255101,0.249981,0.744692,0.000000
82,0.000000,0.558328,0.000000,0.191163,0.255057,0.000000,0.744645,0.249974,0.000000,0.191646,0.000000,0.558863,0.744943,0.250026,0.255355,0.000000
83,0.000000,0.191058,0.000000,0.558208,0.745006,0.000000,0.255422,0.250038,0.000000,0.558980,0.000000,0.191754,0.254994,0.249962,0.744578,0.000000
84,0.000000,0.558037,0.000000,0.190907,0.254901,0.000000,0.744482,0.249946,0.000000,0.191909,0.000000,0.559148,0.745099,0.250054,0.255518,0.000000
85,0.000000,0.190688,0.000000,0.557790,0.745232,0.000000,0.255655,0.250080,0.000000,0.559392,0.000000,0.192131,0.254768,0.249920,0.744345,0.000000
86,0.000000,0.557437,0.000000,0.190373,0.254574,0.000000,0.744147,0.249887,0.000000,0.192450,0.000000,0.559739,0.745426,0.250113,0.255853,0.000000
87,0.000000,0.189920,0.000000,0.556925,0.745704,0.000000,0.256136,0.250165,0.000000,0.560245,0.000000,0.192910,0.254296,0.249835,0.743864,0.000000
88,0.000000,0.556194,0.000000,0.189268,0.253893,0.000000,0.743455,0.249767,0.000000,0.193573,0.000000,0.560966,0.746107,0.250233,0.256545,0.000000
89,0.000000,0.188331,0.000000,0.555129,0.746683,0.000000,0.257129,0.250342,0.000000,0.562011,0.000000,0.194529,0.253317,0.249658,0.742871,0.000000
90,0.000000,0.553606,0.000000,0.186987,0.252482,0.000000,0.742022,0.249517,0.000000,0.195910,0.000000,0.563497,0.747518,0.250483,0.257978,0.000000
91,0.000000,0.185062,0.000000,0.551383,0.748709,0.000000,0.259193,0.250709,0.000000,0.565647,0.000000,0.197908,0.251291,0.249291,0.740807,0.000000
92,0.000000,0.548192,0.000000,0.182313,0.249572,0.000000,0.739041,0.248999,0.000000,0.200807,0.000000,0.568688,0.750428,0.251001,0.260959,0.000000
93,0.000000,0.178405,0.000000,0.543509,0.752873,0.000000,0.263496,0.251468,0.000000,0.573064,0.000000,0.205023,0.247127,0.248532,0.736504,0.000000
94,0.000000,0.536746,0.000000,0.172877,0.243618,0.000000,0.732805,0.247931,0.000000,0.211185,0.000000,0.579193,0.756382,0.252069,0.267195,0.000000
95,0.000000,0.165132,0.000000,0.526743,0.761327,0.000000,0.272523,0.253025,0.000000,0.587893,0.000000,0.220233,0.238673,0.246975,0.727477,0.000000
96,0.000000,0.512148,0.000000,0.154428,0.231674,0.000000,0.719690,0.245765,0.000000,0.233617,0.000000,0.599807,0.768326,0.254235,0.280310,0.000000
97,0.000000,0.139961,0.000000,0.490361,0.777953,0.000000,0.291520,0.256110,0.000000,0.616149,0.000000,0.253528,0.222047,0.243890,0.708480,0.000000
98,0.000000,0.458362,0.000000,0.121083,0.208963,0.000000,0.692235,0.241677,0.000000,0.283315,0.000000,0.637240,0.791037,0.258323,0.307765,0.000000
99,0.000000,0.097811,0.000000,0.411082,0.807796,0.000000,0.330482,0.261375,0.000000,0.663564,0.000000,0.327543,0.192204,0.238625,0.669518,0.000000
100,0.000000,0.344739,0.000000,0.071619,0.172014,0.000000,0.638837,0.236110,0.000000,0.391371,0.000000,0.692270,0.827986,0.263890,0.361163,0.000000
101,0.000000,0.045947,0.000000,0.258638,0.849148,0.000000,0.398003,0.265583,0.000000,0.719636,0.000000,0.475779,0.150852,0.234417,0.601997,0.000000
102,0.000000,0.165883,0.000000,0.025207,0.131912,0.000000,0.564036,0.236521,0.000000,0.570637,0.000000,0.738272,0.868088,0.263479,0.435964,0.000000
103,0.000000,0.011883,0.000000,0.088290,0.881373,0.000000,0.465999,0.259393,0.000000,0.747509,0.000000,0.652318,0.118627,0.240607,0.534001,0.000000
104,0.000000,0.040112,0.000000,0.005008,0.110984,0.000000,0.515239,0.245381,0.000000,0.705269,0.000000,0.749612,0.889016,0.254619,0.484761,0.000000
105,0.000000,0.001979,0.000000,0.016433,0.892493,0.000000,0.493690,0.252122,0.000000,0.750143,0.000000,0.731445,0.107507,0.247878,0.506310,0.000000
106,0.000000,0.006406,0.000000,0.000760,0.106021,0.000000,0.502415,0.249218,0.000000,0.742812,0.000000,0.750022,0.893979,0.250782,0.497585,0.000000
107,0.000000,0.000288,0.000000,0.002443,0.894537,0.000000,0.499059,0.250331,0.000000,0.750043,0.000000,0.747226,0.105463,0.249669,0.500941,0.000000
108,0.000000,0.000924,0.000000,0.000109,0.105239,0.000000,0.500347,0.249888,0.000000,0.748964,0.000000,0.750003,0.894761,0.250112,0.499653,0.000000
109,0.000000,0.000041,0.000000,0.000348,0.894840,0.000000,0.499865,0.250048,0.000000,0.750007,0.000000,0.749604,0.105160,0.249952,0.500135,0.000000
110,0.000000,0.000131,0.000000,0.000015,0.105127,0.000000,0.500049,0.249984,0.000000,0.749853,0.000000,0.750000,0.894873,0.250016,0.499951,0.000000
111,0.000000,0.000006,0.000000,0.000049,0.894884,0.000000,0.499981,0.250007,0.000000,0.750001,0.000000,0.749944,0.105116,0.249993,0.500019,0.000000
112,0.000000,0.000019,0.000000,0.000002,0.105112,0.000000,0.500007,0.249998,0.000000,0.749979,0.000000,0.750000,0.894888,0.250002,0.499993,0.000000
113,0.000000,0.000001,0.000000,0.000007,0.894890,0.000000,0.499997,0.250001,0.000000,0.750000,0.000000,0.749992,0.105110,0.249999,0.500003,0.000000
114,0.000000,0.000003,0.000000,0.000000,0.105109,0.000000,0.500001,0.250000,0.000000,0.749997,0.000000,0.750000,0.894891,0.250000,0.499999,0.000000
115,0.000000,0.000000,0.000000,0.000001,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.749999,0.105109,0.250000,0.500000,0.000000
116,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
117,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
118,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
119,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
120,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
121,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
122,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
123,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
124,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
125,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
126,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
127,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
128,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
129,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
130,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
131,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
132,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
133,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
134,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
135,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
136,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
137,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
138,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
139,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
140,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
141,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
142,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
143,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
144,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
145,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
146,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
147,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
148,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
149,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
150,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
151,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
152,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
153,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
154,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
155,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
156,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
157,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
158,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
159,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
160,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
161,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
162,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
163,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
164,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
165,0.000000,0.000000,0.000000,0.000000,0.894891,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.105109,0.250000,0.500000,0.000000
166,0.000000,0.000000,0.000000,0.000000,0.105109,0.000000,0.500000,0.250000,0.000000,0.750000,0.000000,0.750000,0.894891,0.250000,0.500000,0.000000
